,season,episode,speaker,percent
533,3,3,kelly,2.682
534,3,3,kevin,1.533
535,3,3,michael,28.736
536,3,3,pam,6.512999999999999
537,3,3,phyllis,1.916
538,3,3,roy,0.766
539,3,3,stanley,0.766
540,3,4,andy,1.688
541,3,4,angela,2.532
542,3,4,creed,2.532
543,3,4,dwight,15.612
544,3,4,jan,5.063
545,3,4,jim,6.329
546,3,4,josh,1.266
547,3,4,karen,6.329
548,3,4,kelly,1.266
549,3,4,kevin,0.844
550,3,4,meredith,0.422
551,3,4,michael,36.287000000000006
552,3,4,pam,10.549
553,3,4,phyllis,1.266
554,3,4,roy,2.11
555,3,4,ryan,2.11
556,3,4,ryan and others,0.422
557,3,4,stanley,2.11
558,3,4,toby,1.266
559,3,5,andy,1.8450000000000002
560,3,5,angela,1.476
561,3,5,announcer,0.369
562,3,5,bob,0.738
563,3,5,cousin mose,0.369
564,3,5,dwight,16.605
565,3,5,jan,3.321
566,3,5,jim,18.081
567,3,5,karen,3.321
568,3,5,kelly,2.214
569,3,5,kevin,1.107
570,3,5,michael,12.177
571,3,5,pam,19.926
572,3,5,phyllis,0.738
573,3,5,pretzel guy,1.107
574,3,5,ryan,14.022000000000002
575,3,5,stanley,2.214
576,3,5,toby,0.369
577,3,6,andy,7.3389999999999995
578,3,6,andy and jim,1.8350000000000002
579,3,6,angela,4.587
580,3,6,carol,5.505
581,3,6,creed,0.459
582,3,6,crowd,0.459
583,3,6,dwight,2.752
584,3,6,girls,0.459
585,3,6,jim,9.633
586,3,6,josh,0.9169999999999999
587,3,6,karen,6.422
588,3,6,kelly,6.880999999999999
589,3,6,kelly's father,1.376
590,3,6,kelly's mom,2.294
591,3,6,kevin,2.752
592,3,6,meredith,0.9169999999999999
593,3,6,michael,25.688
594,3,6,overhead,0.459
595,3,6,pam,11.468
596,3,6,phyllis,0.9169999999999999
597,3,6,roy,0.459
598,3,6,ryan,3.211
599,3,6,server,0.459
600,3,6,stanley,0.459
601,3,6,toby,0.9169999999999999
602,3,6,tony,0.9169999999999999
603,3,6,young man,0.459
604,3,7,andy,1.825
605,3,7,angela,2.555
606,3,7,darryl,1.46
607,3,7,dwight,14.234
608,3,7,jan,16.058
609,3,7,jim,8.394
610,3,7,josh,3.65
611,3,7,karen,3.2849999999999997
612,3,7,kelly,0.73
613,3,7,kevin,4.38
614,3,7,michael,26.277
615,3,7,michael and dwight,0.73
616,3,7,pam,8.029
617,3,7,phyllis,2.92
618,3,7,roy,1.46
619,3,7,ryan,2.555
620,3,7,stanley,0.365
621,3,7,toby,1.095
622,3,8,andy,8.097
623,3,8,andy & michael,0.40499999999999997
624,3,8,angela,0.8099999999999999
